product,region,week_start,returns,review_sentiment
Vans Knu Skool,West Coast,2026-06-01,10,0.427
Vans Knu Skool,West Coast,2026-06-08,8,0.396
Vans Knu Skool,West Coast,2026-06-15,9,0.383
Vans Knu Skool,West Coast,2026-06-22,9,0.397
Vans Knu Skool,West Coast,2026-06-29,7,0.333
Vans Knu Skool,West Coast,2026-07-06,10,0.342
Vans Knu Skool,West Coast,2026-07-13,8,0.347
Vans Knu Skool,West Coast,2026-07-20,9,0.36
Vans Knu Skool,West Coast,2026-07-27,10,0.416
Vans Knu Skool,West Coast,2026-08-03,10,0.364
