product,region,week_start,searches,views,conversion_rate
Vans Knu Skool,West Coast,2026-06-01,1200,2025,0.0444
Vans Knu Skool,West Coast,2026-06-08,1239,2160,0.0308
Vans Knu Skool,West Coast,2026-06-15,1281,2195,0.0892
Vans Knu Skool,West Coast,2026-06-22,1321,2288,0.049
Vans Knu Skool,West Coast,2026-06-29,1359,2302,0.042
Vans Knu Skool,West Coast,2026-07-06,1399,2340,0.0455
Vans Knu Skool,West Coast,2026-07-13,1440,2456,0.0733
Vans Knu Skool,West Coast,2026-07-20,1480,2451,0.0695
Vans Knu Skool,West Coast,2026-07-27,1520,2634,0.0722
Vans Knu Skool,West Coast,2026-08-03,1559,2671,0.0739
