product,region,week_start,returns,review_sentiment
Vans Knu Skool,West Coast,2026-06-01,9,0.475
Vans Knu Skool,West Coast,2026-06-08,9,0.401
Vans Knu Skool,West Coast,2026-06-15,9,0.341
Vans Knu Skool,West Coast,2026-06-22,9,0.395
Vans Knu Skool,West Coast,2026-06-29,9,0.395
Vans Knu Skool,West Coast,2026-07-06,9,0.348
Vans Knu Skool,West Coast,2026-07-13,9,0.305
Vans Knu Skool,West Coast,2026-07-20,9,0.351
Vans Knu Skool,West Coast,2026-07-27,9,0.338
Vans Knu Skool,West Coast,2026-08-03,9,0.346
