product,region,week_start,searches,views,conversion_rate
Vans Knu Skool,West Coast,2026-06-01,1200,2091,0.0521
Vans Knu Skool,West Coast,2026-06-08,1248,2114,0.0571
Vans Knu Skool,West Coast,2026-06-15,1294,2188,0.0498
Vans Knu Skool,West Coast,2026-06-22,1339,2292,0.0432
Vans Knu Skool,West Coast,2026-06-29,1388,2388,0.0424
Vans Knu Skool,West Coast,2026-07-06,1431,2451,0.0404
Vans Knu Skool,West Coast,2026-07-13,1481,2507,0.0321
Vans Knu Skool,West Coast,2026-07-20,1526,2585,0.0322
Vans Knu Skool,West Coast,2026-07-27,1574,2699,0.0255
Vans Knu Skool,West Coast,2026-08-03,1621,2823,0.0288
