product,region,week_start,searches,views,conversion_rate
Vans Knu Skool,West Coast,2026-06-01,1200,2025,0.0493
Vans Knu Skool,West Coast,2026-06-08,1239,2159,0.0485
Vans Knu Skool,West Coast,2026-06-15,1281,2196,0.0573
Vans Knu Skool,West Coast,2026-06-22,1321,2288,0.053
Vans Knu Skool,West Coast,2026-06-29,1358,2301,0.0532
Vans Knu Skool,West Coast,2026-07-06,1399,2339,0.0547
Vans Knu Skool,West Coast,2026-07-13,1440,2456,0.0595
Vans Knu Skool,West Coast,2026-07-20,1480,2451,0.06
Vans Knu Skool,West Coast,2026-07-27,1520,2634,0.0614
Vans Knu Skool,West Coast,2026-08-03,1559,2671,0.0627
