product,region,week_start,returns,review_sentiment
Vans Knu Skool,West Coast,2026-06-01,8,0.349
Vans Knu Skool,West Coast,2026-06-08,9,0.312
Vans Knu Skool,West Coast,2026-06-15,10,0.216
Vans Knu Skool,West Coast,2026-06-22,10,0.203
Vans Knu Skool,West Coast,2026-06-29,11,0.105
Vans Knu Skool,West Coast,2026-07-06,12,0.065
Vans Knu Skool,West Coast,2026-07-13,13,-0.062
Vans Knu Skool,West Coast,2026-07-20,13,-0.066
Vans Knu Skool,West Coast,2026-07-27,14,-0.198
Vans Knu Skool,West Coast,2026-08-03,15,-0.271
