product,region,dealer,week_start,dealer_inventory_units
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-01,80
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-08,80
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-15,79
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-22,79
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-29,78
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-06,78
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-13,77
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-20,77
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-27,77
Vans Knu Skool,West Coast,PacSun - San Diego,2026-08-03,76
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-01,70
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-08,70
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-15,70
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-22,69
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-29,69
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-06,69
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-13,69
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-20,68
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-27,68
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-08-03,68
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-01,65
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-08,65
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-15,65
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-22,66
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-29,66
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-06,66
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-13,66
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-20,67
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-27,67
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-08-03,67
