product,region,week_start,searches,views,conversion_rate
Vans Knu Skool,West Coast,2026-06-01,1200,2016,0.0446
Vans Knu Skool,West Coast,2026-06-08,1204,2020,0.0512
Vans Knu Skool,West Coast,2026-06-15,1208,2024,0.0472
Vans Knu Skool,West Coast,2026-06-22,1212,2054,0.0534
Vans Knu Skool,West Coast,2026-06-29,1216,2068,0.0531
Vans Knu Skool,West Coast,2026-07-06,1220,2080,0.0518
Vans Knu Skool,West Coast,2026-07-13,1224,2141,0.0426
Vans Knu Skool,West Coast,2026-07-20,1228,2124,0.0506
Vans Knu Skool,West Coast,2026-07-27,1232,2109,0.0527
Vans Knu Skool,West Coast,2026-08-03,1236,2161,0.0535
