product,region,dealer,week_start,dealer_inventory_units
Vans Knu Skool,Midwest,Journeys - Chicago,2026-06-01,75
Vans Knu Skool,Midwest,Journeys - Chicago,2026-06-08,75
Vans Knu Skool,Midwest,Journeys - Chicago,2026-06-15,75
Vans Knu Skool,Midwest,Journeys - Chicago,2026-06-22,75
Vans Knu Skool,Midwest,Journeys - Chicago,2026-06-29,75
Vans Knu Skool,Midwest,Journeys - Chicago,2026-07-06,74
Vans Knu Skool,Midwest,Journeys - Chicago,2026-07-13,74
Vans Knu Skool,Midwest,Journeys - Chicago,2026-07-20,74
Vans Knu Skool,Midwest,Journeys - Chicago,2026-07-27,74
Vans Knu Skool,Midwest,Journeys - Chicago,2026-08-03,74
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-06-01,68
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-06-08,68
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-06-15,68
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-06-22,68
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-06-29,68
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-07-06,69
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-07-13,69
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-07-20,69
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-07-27,69
Vans Knu Skool,Midwest,PacSun - Minneapolis,2026-08-03,69
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-06-01,60
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-06-08,60
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-06-15,60
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-06-22,60
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-06-29,60
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-07-06,61
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-07-13,61
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-07-20,61
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-07-27,61
Vans Knu Skool,Midwest,Zumiez - Columbus,2026-08-03,61
