product,region,dealer,week_start,dealer_inventory_units
Vans Knu Skool,Northeast,Journeys - Boston,2026-06-01,78
Vans Knu Skool,Northeast,Journeys - Boston,2026-06-08,78
Vans Knu Skool,Northeast,Journeys - Boston,2026-06-15,77
Vans Knu Skool,Northeast,Journeys - Boston,2026-06-22,77
Vans Knu Skool,Northeast,Journeys - Boston,2026-06-29,77
Vans Knu Skool,Northeast,Journeys - Boston,2026-07-06,76
Vans Knu Skool,Northeast,Journeys - Boston,2026-07-13,76
Vans Knu Skool,Northeast,Journeys - Boston,2026-07-20,76
Vans Knu Skool,Northeast,Journeys - Boston,2026-07-27,75
Vans Knu Skool,Northeast,Journeys - Boston,2026-08-03,75
Vans Knu Skool,Northeast,Zumiez - New York,2026-06-01,68
Vans Knu Skool,Northeast,Zumiez - New York,2026-06-08,68
Vans Knu Skool,Northeast,Zumiez - New York,2026-06-15,68
Vans Knu Skool,Northeast,Zumiez - New York,2026-06-22,68
Vans Knu Skool,Northeast,Zumiez - New York,2026-06-29,68
Vans Knu Skool,Northeast,Zumiez - New York,2026-07-06,67
Vans Knu Skool,Northeast,Zumiez - New York,2026-07-13,67
Vans Knu Skool,Northeast,Zumiez - New York,2026-07-20,67
Vans Knu Skool,Northeast,Zumiez - New York,2026-07-27,67
Vans Knu Skool,Northeast,Zumiez - New York,2026-08-03,67
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-06-01,58
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-06-08,58
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-06-15,58
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-06-22,59
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-06-29,59
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-07-06,59
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-07-13,59
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-07-20,60
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-07-27,60
Vans Knu Skool,Northeast,Tilly's - Philadelphia,2026-08-03,60
