product,region,dealer,week_start,dealer_inventory_units
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-06-01,80
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-06-08,80
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-06-15,79
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-06-22,79
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-06-29,78
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-07-06,78
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-07-13,77
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-07-20,77
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-07-27,77
Vans Sk8-Hi,Midwest,Journeys - Chicago,2026-08-03,76
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-06-01,70
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-06-08,70
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-06-15,70
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-06-22,69
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-06-29,69
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-07-06,69
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-07-13,69
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-07-20,68
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-07-27,68
Vans Sk8-Hi,Midwest,PacSun - Minneapolis,2026-08-03,68
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-06-01,65
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-06-08,65
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-06-15,65
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-06-22,66
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-06-29,66
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-07-06,66
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-07-13,66
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-07-20,67
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-07-27,67
Vans Sk8-Hi,Midwest,Zumiez - Columbus,2026-08-03,67
