product,region,dealer,week_start,dealer_inventory_units
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-06-01,85
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-06-08,80
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-06-15,75
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-06-22,70
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-06-29,65
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-07-06,60
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-07-13,55
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-07-20,50
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-07-27,45
Vans Sk8-Hi,West Coast,PacSun - San Diego,2026-08-03,40
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-06-01,70
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-06-08,69
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-06-15,69
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-06-22,68
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-06-29,67
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-07-06,67
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-07-13,66
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-07-20,65
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-07-27,65
Vans Sk8-Hi,West Coast,Zumiez - Santa Monica,2026-08-03,64
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-06-01,60
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-06-08,61
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-06-15,61
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-06-22,62
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-06-29,63
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-07-06,63
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-07-13,64
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-07-20,65
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-07-27,65
Vans Sk8-Hi,West Coast,Tilly's - Sacramento,2026-08-03,66
