product,region,week_start,searches,views,conversion_rate,on_promo
Vans Knu Skool,Midwest,2026-06-01,1150,2005,0.0549,0
Vans Knu Skool,Midwest,2026-06-08,1152,1929,0.0507,0
Vans Knu Skool,Midwest,2026-06-15,1154,1941,0.0549,0
Vans Knu Skool,Midwest,2026-06-22,1157,1954,0.0529,0
Vans Knu Skool,Midwest,2026-06-29,1159,1943,0.0543,0
Vans Knu Skool,Midwest,2026-07-06,1161,1957,0.0465,0
Vans Knu Skool,Midwest,2026-07-13,1163,2028,0.0492,0
Vans Knu Skool,Midwest,2026-07-20,1166,1967,0.0582,0
Vans Knu Skool,Midwest,2026-07-27,1168,2017,0.0536,0
Vans Knu Skool,Midwest,2026-08-03,1170,1935,0.0527,0
