product,region,week_start,searches,views,conversion_rate,on_promo
Vans Knu Skool,Northeast,2026-06-01,1150,1937,0.0527,0
Vans Knu Skool,Northeast,2026-06-08,1153,1972,0.0488,0
Vans Knu Skool,Northeast,2026-06-15,1157,1913,0.0477,0
Vans Knu Skool,Northeast,2026-06-22,1160,1954,0.0518,0
Vans Knu Skool,Northeast,2026-06-29,1163,1929,0.0441,0
Vans Knu Skool,Northeast,2026-07-06,1167,2038,0.0459,0
Vans Knu Skool,Northeast,2026-07-13,1170,2000,0.0558,0
Vans Knu Skool,Northeast,2026-07-20,1173,1995,0.0522,0
Vans Knu Skool,Northeast,2026-07-27,1177,2057,0.056,0
Vans Knu Skool,Northeast,2026-08-03,1180,1991,0.052,0
