product,region,dealer,week_start,dealer_inventory_units
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-01,90
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-08,83
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-15,76
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-22,69
Vans Knu Skool,West Coast,PacSun - San Diego,2026-06-29,62
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-06,55
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-13,49
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-20,42
Vans Knu Skool,West Coast,PacSun - San Diego,2026-07-27,35
Vans Knu Skool,West Coast,PacSun - San Diego,2026-08-03,28
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-01,70
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-08,69
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-15,68
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-22,68
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-06-29,67
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-06,66
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-13,65
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-20,65
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-07-27,64
Vans Knu Skool,West Coast,Zumiez - Santa Monica,2026-08-03,63
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-01,60
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-08,61
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-15,62
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-22,63
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-06-29,64
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-06,64
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-13,65
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-20,66
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-07-27,67
Vans Knu Skool,West Coast,Tilly's - Sacramento,2026-08-03,68
