product,region,dealer,week_start,dealer_inventory_units
Vans Old Skool,Northeast,Journeys - Boston,2026-06-01,75
Vans Old Skool,Northeast,Journeys - Boston,2026-06-08,72
Vans Old Skool,Northeast,Journeys - Boston,2026-06-15,69
Vans Old Skool,Northeast,Journeys - Boston,2026-06-22,65
Vans Old Skool,Northeast,Journeys - Boston,2026-06-29,62
Vans Old Skool,Northeast,Journeys - Boston,2026-07-06,59
Vans Old Skool,Northeast,Journeys - Boston,2026-07-13,56
Vans Old Skool,Northeast,Journeys - Boston,2026-07-20,53
Vans Old Skool,Northeast,Journeys - Boston,2026-07-27,49
Vans Old Skool,Northeast,Journeys - Boston,2026-08-03,46
Vans Old Skool,Northeast,Zumiez - New York,2026-06-01,65
Vans Old Skool,Northeast,Zumiez - New York,2026-06-08,64
Vans Old Skool,Northeast,Zumiez - New York,2026-06-15,64
Vans Old Skool,Northeast,Zumiez - New York,2026-06-22,63
Vans Old Skool,Northeast,Zumiez - New York,2026-06-29,63
Vans Old Skool,Northeast,Zumiez - New York,2026-07-06,62
Vans Old Skool,Northeast,Zumiez - New York,2026-07-13,62
Vans Old Skool,Northeast,Zumiez - New York,2026-07-20,61
Vans Old Skool,Northeast,Zumiez - New York,2026-07-27,61
Vans Old Skool,Northeast,Zumiez - New York,2026-08-03,60
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-06-01,55
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-06-08,55
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-06-15,56
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-06-22,56
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-06-29,56
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-07-06,57
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-07-13,57
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-07-20,57
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-07-27,58
Vans Old Skool,Northeast,Tilly's - Philadelphia,2026-08-03,58
