product,region,week_start,searches,views,conversion_rate,on_promo
Vans Old Skool,Northeast,2026-06-01,1100,1903,0.0476,0
Vans Old Skool,Northeast,2026-06-08,1121,1926,0.052,0
Vans Old Skool,Northeast,2026-06-15,1145,1943,0.0499,0
Vans Old Skool,Northeast,2026-06-22,1167,1929,0.0497,0
Vans Old Skool,Northeast,2026-06-29,1189,2068,0.0446,0
Vans Old Skool,Northeast,2026-07-06,1211,2068,0.0528,0
Vans Old Skool,Northeast,2026-07-13,1234,2085,0.0533,0
Vans Old Skool,Northeast,2026-07-20,1256,2117,0.0573,0
Vans Old Skool,Northeast,2026-07-27,1278,2192,0.0584,0
Vans Old Skool,Northeast,2026-08-03,1300,2191,0.0558,0
