product,region,dealer,week_start,dealer_inventory_units
Vans Old Skool,West Coast,PacSun - San Diego,2026-06-01,80
Vans Old Skool,West Coast,PacSun - San Diego,2026-06-08,80
Vans Old Skool,West Coast,PacSun - San Diego,2026-06-15,79
Vans Old Skool,West Coast,PacSun - San Diego,2026-06-22,79
Vans Old Skool,West Coast,PacSun - San Diego,2026-06-29,79
Vans Old Skool,West Coast,PacSun - San Diego,2026-07-06,78
Vans Old Skool,West Coast,PacSun - San Diego,2026-07-13,78
Vans Old Skool,West Coast,PacSun - San Diego,2026-07-20,78
Vans Old Skool,West Coast,PacSun - San Diego,2026-07-27,77
Vans Old Skool,West Coast,PacSun - San Diego,2026-08-03,77
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-06-01,70
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-06-08,70
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-06-15,70
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-06-22,70
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-06-29,70
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-07-06,69
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-07-13,69
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-07-20,69
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-07-27,69
Vans Old Skool,West Coast,Zumiez - Santa Monica,2026-08-03,69
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-06-01,65
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-06-08,65
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-06-15,65
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-06-22,65
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-06-29,65
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-07-06,66
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-07-13,66
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-07-20,66
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-07-27,66
Vans Old Skool,West Coast,Tilly's - Sacramento,2026-08-03,66
