product,region,week_start,searches,views,conversion_rate,on_promo
Vans Sk8-Hi,West Coast,2026-06-01,1200,2072,0.0412,0
Vans Sk8-Hi,West Coast,2026-06-08,1238,2118,0.0463,0
Vans Sk8-Hi,West Coast,2026-06-15,1281,2130,0.0518,1
Vans Sk8-Hi,West Coast,2026-06-22,1315,2217,0.0471,1
Vans Sk8-Hi,West Coast,2026-06-29,1356,2356,0.0516,1
Vans Sk8-Hi,West Coast,2026-07-06,1394,2437,0.0554,1
Vans Sk8-Hi,West Coast,2026-07-13,1433,2466,0.054,1
Vans Sk8-Hi,West Coast,2026-07-20,1473,2455,0.0567,1
Vans Sk8-Hi,West Coast,2026-07-27,1509,2623,0.0591,1
Vans Sk8-Hi,West Coast,2026-08-03,1549,2581,0.0653,1
